Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;1;314;100,0;24;24;0;0;100,00;206;108;7;12;84;5;5;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;2;327;100,0;24;24;0;2;99,39;204;121;11;23;81;6;6;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Planetariet;314;100,0;24;24;0;0;100,00;206;108;7;12;84;5;5;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning UNN;327;100,0;24;24;0;2;99,39;204;121;11;23;81;6;6;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt;641;100,0;24;24;0;2;99,69;410;229;18;35;165;11;11;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;1;417;100,0;24;24;0;1;99,76;300;116;8;6;93;9;9;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;2;408;100,0;24;24;0;1;99,75;291;116;4;11;88;13;12;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Planetariet;417;100,0;24;24;0;1;99,76;300;116;8;6;93;9;9;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning UNN;408;100,0;24;24;0;1;99,75;291;116;4;11;88;13;12;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt;825;100,0;24;24;0;2;99,76;591;232;12;17;181;22;21;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;2022-01-03;1;1552;100,0;24;24;0;9;99,42;1107;436;69;58;264;45;44;1
