;Alle husholdninger;Aleneboende under 30 år;Aleneboende 30-44 år;Aleneboende 45-66 år;Aleneboende 67 år og over;Par uten barn, eldste person under 30 år;Par uten barn, eldste person 30-44 år;Par uten barn, eldste person 45-66 år;Par uten barn, eldste person 67 år og over;Par med barn, yngste barn 0-5 år;Par med barn, yngste barn 6-17 år;Par med barn, yngste barn 18 år og eldre;Mor/far med barn, yngste barn 0-5 år;Mor/far med barn, yngste barn 6-17 år;Mor/far med barn, yngste barn 18 år og eldre;Flerfamiliehusholdninger
Hele landet;431000;210000;284000;273000;214000;474000;593000;602000;451000;648000;734000;808000;314000;377000;460000;655000
;;;;;;;;;;;;;;;;
Østfold;416000;206000;263000;255000;207000;463000;553000;558000;429000;605000;681000;758000;313000;355000;442000;632000
Akershus;502000;202000;277000;290000;240000;477000;613000;658000;506000;705000;799000;865000;330000;398000;483000;679000
Oslo;377000;214000;304000;285000;244000;475000;636000;673000;521000;683000;768000;829000;322000;379000;451000;589000
Hedmark;402000;199000;258000;254000;203000;442000;544000;549000;424000;597000;668000;744000;309000;359000;434000;607000
Oppland;408000;196000;264000;256000;200000;450000;549000;553000;421000;606000;677000;755000;307000;357000;450000;649000
Buskerud;436000;209000;278000;272000;212000;476000;582000;600000;451000;637000;718000;809000;317000;373000;466000;652000
Vestfold;425000;195000;263000;262000;216000;454000;558000;592000;449000;622000;711000;786000;303000;366000;446000;640000
Telemark;414000;201000;267000;262000;209000;464000;547000;579000;434000;609000;695000;772000;299000;362000;452000;627000
Aust-Agder;432000;202000;271000;262000;210000;466000;562000;570000;433000;604000;692000;773000;299000;368000;447000;641000
Vest-Agder;436000;211000;279000;269000;209000;478000;572000;590000;438000;625000;713000;794000;299000;368000;456000;660000
Rogaland;488000;239000;309000;291000;212000;534000;631000;638000;449000;680000;798000;884000;321000;397000;488000;712000
Hordaland;449000;214000;288000;282000;214000;481000;591000;627000;450000;658000;755000;831000;315000;383000;472000;686000
Sogn og Fjordane;445000;205000;285000;278000;198000;475000;579000;590000;431000;639000;720000;798000;313000;384000;483000;719000
Møre og Romsdal;447000;222000;283000;270000;199000;479000;573000;600000;427000;647000;738000;810000;316000;378000;468000;686000
Sør-Trøndelag;423000;195000;277000;271000;212000;440000;565000;600000;446000;640000;727000;797000;317000;372000;442000;662000
Nord-Trøndelag;431000;199000;256000;260000;201000;436000;528000;567000;425000;601000;692000;764000;298000;362000;437000;667000
Nordland;422000;207000;277000;268000;204000;464000;564000;582000;433000;626000;713000;784000;314000;375000;450000;660000
Troms Romsa;422000;203000;282000;274000;210000;449000;574000;598000;446000;652000;732000;793000;312000;381000;459000;677000
Finnmark Finnmárku;430000;225000;284000;268000;218000;489000;580000;608000;462000;664000;759000;817000;334000;401000;480000;675000
