Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;1;375;100;24;24;0;2;99,47;247;126;14;13;90;9;9;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;2;391;100;24;24;0;1;99,74;257;133;6;27;90;10;10;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt i retning Planetariet;372;100;24;24;0;2;99,46;246;124;13;12;90;9;9;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt i retning UNN;394;100;24;24;0;1;99,75;258;135;7;28;90;10;10;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-01-02T00:00+01:00;01.01.2023;Totalt;766;100;24;24;0;3;99,61;504;259;20;40;180;19;19;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;1;1454;100;24;24;0;7;99,52;1027;420;63;41;253;63;61;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;2;1611;100;24;24;0;3;99,81;1162;446;34;52;290;70;68;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt i retning Planetariet;1454;100;24;24;0;7;99,52;1027;420;63;41;253;63;61;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt i retning UNN;1611;100;24;24;0;3;99,81;1162;446;34;52;290;70;68;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-02T00:00+01:00;2023-01-03T00:00+01:00;02.01.2023;Totalt;3065;100;24;24;0;10;99,67;2189;866;97;93;543;133;129;4
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;1;1618;100;24;24;0;7;99,57;1197;414;57;45;237;75;72;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;2;1810;100;24;24;0;11;99,39;1339;460;50;63;282;65;64;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;Totalt i retning Planetariet;1618;100;24;24;0;7;99,57;1197;414;57;45;237;75;72;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;Totalt i retning UNN;1810;100;24;24;0;11;99,39;1339;460;50;63;282;65;64;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-03T00:00+01:00;2023-01-04T00:00+01:00;03.01.2023;Totalt;3428;100;24;24;0;18;99,47;2536;874;107;108;519;140;136;4
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;1;1657;100;24;24;0;8;99,52;1247;402;48;31;252;71;68;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;2;1916;100;24;24;0;13;99,32;1450;453;49;60;281;63;63;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;Totalt i retning Planetariet;1657;100;24;24;0;8;99,52;1247;402;48;31;252;71;68;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;Totalt i retning UNN;1916;100;24;24;0;13;99,32;1450;453;49;60;281;63;63;0
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-04T00:00+01:00;2023-01-05T00:00+01:00;04.01.2023;Totalt;3573;100;24;24;0;21;99,41;2697;855;97;91;533;134;131;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;1;1468;100;24;24;0;17;98,84;1001;450;86;47;254;63;62;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;2;1652;100;24;24;0;12;99,27;1185;455;41;42;307;65;62;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;Totalt i retning Planetariet;1467;100;24;24;0;17;98,84;1001;449;86;46;254;63;62;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;Totalt i retning UNN;1653;100;24;24;0;12;99,27;1185;456;41;43;307;65;62;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-05T00:00+01:00;2023-01-06T00:00+01:00;05.01.2023;Totalt;3120;100;24;24;0;29;99,07;2186;905;127;89;561;128;124;4
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;1;1414;100;24;24;0;15;98,94;977;422;70;29;246;77;75;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;2;1548;100;24;24;0;10;99,35;1092;446;38;38;291;79;74;5
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;Totalt i retning Planetariet;1414;100;24;24;0;15;98,94;977;422;70;29;246;77;75;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;Totalt i retning UNN;1548;100;24;24;0;10;99,35;1092;446;38;38;291;79;74;5
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-06T00:00+01:00;2023-01-07T00:00+01:00;06.01.2023;Totalt;2962;100;24;24;0;25;99,16;2069;868;108;67;537;156;149;7
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-07T00:00+01:00;2023-01-08T00:00+01:00;07.01.2023;1;565;100;24;24;0;0;100;369;196;20;6;136;34;34;0
